ACHC,NASDAQ,"Acadia Healthcare Company, Inc.",2580000000.0,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,
ACAD,NASDAQ,ACADIA Pharmaceuticals Inc.,3970000000.0,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,
AXDX,NASDAQ,"Accelerate Diagnostics, Inc.",1040000000.0,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,
XLRN,NASDAQ,Acceleron Pharma Inc.,1580000000.0,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,
ANCX,NASDAQ,Access National Corporation,563100000.0,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,
AKAO,NASDAQ,"Achaogen, Inc.",574800000.0,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,
ACHN,NASDAQ,"Achillion Pharmaceuticals, Inc.",542940000.0,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,
ACIW,NASDAQ,"ACI Worldwide, Inc.",2690000000.0,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,
ACRS,NASDAQ,"Aclaris Therapeutics, Inc.",587130000.0,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs,
ACOR,NASDAQ,"Acorda Therapeutics, Inc.",1280000000.0,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,
ATVI,NASDAQ,"Activision Blizzard, Inc",46030000000.0,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,
ACTA,NASDAQ,Actua Corporation,506760000.0,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta,
ACXM,NASDAQ,Acxiom Corporation,2100000000.0,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,
ADMS,NASDAQ,"Adamas Pharmaceuticals, Inc.",608110000.0,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,
ADAP,NASDAQ,Adaptimmune Therapeutics plc,764050000.0,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap,
ADBE,NASDAQ,Adobe Systems Incorporated,89160000000.0,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,
ADTN,NASDAQ,"ADTRAN, Inc.",999000000.0,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,
ADRO,NASDAQ,"Aduro Biotech, Inc.",585710000.0,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro,
AAAP,NASDAQ,Advanced Accelerator Applications S.A.,3580000000.0,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap,
AEIS,NASDAQ,"Advanced Energy Industries, Inc.",3370000000.0,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,
AMD,NASDAQ,"Advanced Micro Devices, Inc.",11400000000.0,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,
AEGN,NASDAQ,Aegion Corp,866900000.0,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn,
AERI,NASDAQ,"Aerie Pharmaceuticals, Inc.",2350000000.0,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri,
AVAV,NASDAQ,"AeroVironment, Inc.",1150000000.0,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav,
AGIO,NASDAQ,"Agios Pharmaceuticals, Inc.",3250000000.0,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio,
AGNC,NASDAQ,AGNC Investment Corp.,7660000000.0,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc,
AGNCB,NASDAQ,AGNC Investment Corp.,9120000000.0,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb,
AIMT,NASDAQ,"Aimmune Therapeutics, Inc.",1530000000.0,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt,
ATSG,NASDAQ,"Air Transport Services Group, Inc",1500000000.0,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg,
AKAM,NASDAQ,"Akamai Technologies, Inc.",9140000000.0,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam,
AKCA,NASDAQ,"Akcea Therapeutics, Inc.",1080000000.0,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akca,
AKBA,NASDAQ,"Akebia Therapeutics, Inc.",814780000.0,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba,
AKRX,NASDAQ,"Akorn, Inc.",4160000000.0,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx,
ALRM,NASDAQ,"Alarm.com Holdings, Inc.",2150000000.0,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm,
ALDR,NASDAQ,"Alder BioPharmaceuticals, Inc.",724540000.0,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr,
ALXN,NASDAQ,"Alexion Pharmaceuticals, Inc.",26230000000.0,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn,
ALGN,NASDAQ,"Align Technology, Inc.",19750000000.0,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn,
ALKS,NASDAQ,Alkermes plc,7330000000.0,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks,
ABTX,NASDAQ,"Allegiance Bancshares, Inc.",489610000.0,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx,
ALGT,NASDAQ,Allegiant Travel Company,2049999999.9999998,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt,
AHGP,NASDAQ,"Alliance Holdings GP, L.P.",1670000000.0,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp,
ARLP,NASDAQ,"Alliance Resource Partners, L.P.",2480000000.0,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp,
MDRX,NASDAQ,"Allscripts Healthcare Solutions, Inc.",2310000000.0,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx,
AFAM,NASDAQ,Almost Family Inc,714960000.0,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam,
ALNY,NASDAQ,"Alnylam Pharmaceuticals, Inc.",11880000000.0,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny,
AOSL,NASDAQ,Alpha and Omega Semiconductor Limited,421140000.0,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl,
GOOG,NASDAQ,Alphabet Inc.,717520000000.0,2004,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog,
GOOGL,NASDAQ,Alphabet Inc.,727600000000.0,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl,
AABA,NASDAQ,Altaba Inc.,64050000000.0,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/aaba,
ALTR,NASDAQ,Altair Engineering Inc.,1180000000.0,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/altr,
ASPS,NASDAQ,Altisource Portfolio Solutions S.A.,452450000.0,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps,
AIMC,NASDAQ,Altra Industrial Motion Corp.,1350000000.0,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc,
AMAG,NASDAQ,"AMAG Pharmaceuticals, Inc.",462280000.0,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag,
AMRN,NASDAQ,Amarin Corporation plc,964020000.0,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn,
AMZN,NASDAQ,"Amazon.com, Inc.",541220000000.0,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn,
AMBC,NASDAQ,"Ambac Financial Group, Inc.",700490000.0,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc,
AMBA,NASDAQ,"Ambarella, Inc.",1860000000.0,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba,
AMCX,NASDAQ,AMC Networks Inc.,3140000000.0,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx,
DOX,NASDAQ,Amdocs Limited,9150000000.0,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox,
AMED,NASDAQ,Amedisys Inc,1870000000.0,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed,
UHAL,NASDAQ,Amerco,7450000000.0,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal,
AMOV,NASDAQ,"America Movil, S.A.B. de C.V.",56880000000.0,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov,
AAL,NASDAQ,"American Airlines Group, Inc.",22230000000.0,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal,
ANAT,NASDAQ,American National Insurance Company,3240000000.0,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat,
AOBC,NASDAQ,American Outdoor Brands Corporation,756020000.0,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aobc,
ARII,NASDAQ,"American Railcar Industries, Inc.",747320000.0,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii,
AMWD,NASDAQ,American Woodmark Corporation,1490000000.0,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd,
ABCB,NASDAQ,Ameris Bancorp,1740000000.0,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb,
AMSF,NASDAQ,"AMERISAFE, Inc.",1290000000.0,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf,
AMGN,NASDAQ,Amgen Inc.,125930000000.0,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn,
FOLD,NASDAQ,"Amicus Therapeutics, Inc.",2340000000.0,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold,
AMKR,NASDAQ,"Amkor Technology, Inc.",2720000000.0,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr,
AMPH,NASDAQ,"Amphastar Pharmaceuticals, Inc.",826450000.0,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph,
AFSI,NASDAQ,"AmTrust Financial Services, Inc.",2330000000.0,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi,
ADI,NASDAQ,"Analog Devices, Inc.",33790000000.0,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi,
ALOG,NASDAQ,Analogic Corporation,997080000.0,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog,
ANAB,NASDAQ,"AnaptysBio, Inc.",1330000000.0,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anab,
ANGI,NASDAQ,ANGI Homeservices Inc.,5810000000.0,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi,
ANGO,NASDAQ,"AngioDynamics, Inc.",616090000.0,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango,
ANIP,NASDAQ,"ANI Pharmaceuticals, Inc.",698490000.0,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip,
ANIK,NASDAQ,Anika Therapeutics Inc.,783520000.0,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik,
ANSS,NASDAQ,"ANSYS, Inc.",12870000000.0,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss,
APOG,NASDAQ,"Apogee Enterprises, Inc.",1360000000.0,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog,
AINV,NASDAQ,Apollo Investment Corporation,1350000000.0,2004,n/a,n/a,http://www.nasdaq.com/symbol/ainv,
APPF,NASDAQ,"AppFolio, Inc.",1430000000.0,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appf,
APPN,NASDAQ,Appian Corporation,1360000000.0,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appn,
AAPL,NASDAQ,Apple Inc.,902930000000.0,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl,
AMAT,NASDAQ,"Applied Materials, Inc.",60220000000.0,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat,
AAOI,NASDAQ,"Applied Optoelectronics, Inc.",731590000.0,2013,Technology,Semiconductors,http://www.nasdaq.com/symbol/aaoi,
APTI,NASDAQ,"Apptio, Inc.",861840000.0,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/apti,
ARCB,NASDAQ,ArcBest Corporation,839310000.0,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/arcb,
ACGL,NASDAQ,Arch Capital Group Ltd.,12490000000.0,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/acgl,
APLP,NASDAQ,"Archrock Partners, L.P.",853200000.0,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/aplp,
ARNA,NASDAQ,"Arena Pharmaceuticals, Inc.",1090000000.0,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arna,
ARCC,NASDAQ,Ares Capital Corporation,6900000000.0,2004,n/a,n/a,http://www.nasdaq.com/symbol/arcc,
ARGX,NASDAQ,argenx SE,610250000.0,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/argx,
AGII,NASDAQ,"Argo Group International Holdings, Ltd.",1810000000.0,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/agii,
ARRY,NASDAQ,Array BioPharma Inc.,2260000000.0,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arry,
ARRS,NASDAQ,ARRIS International plc,5240000000.0,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/arrs,
AROW,NASDAQ,Arrow Financial Corporation,475060000.0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/arow,
ASND,NASDAQ,Ascendis Pharma A/S,1310000000.0,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/asnd,
ASML,NASDAQ,ASML Holding N.V.,78970000000.0,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asml,
AZPN,NASDAQ,"Aspen Technology, Inc.",4740000000.0,1994,Technology,EDP Services,http://www.nasdaq.com/symbol/azpn,
ASMB,NASDAQ,"Assembly Biosciences, Inc.",560870000.0,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/asmb,
ASTE,NASDAQ,"Astec Industries, Inc.",1210000000.0,1986,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/aste,
ATRO,NASDAQ,Astronics Corporation,1040000000.0,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/atro,
ATRA,NASDAQ,"Atara Biotherapeutics, Inc.",461450000.0,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/atra,
ATHN,NASDAQ,"athenahealth, Inc.",5030000000.0,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/athn,
ATNX,NASDAQ,"Athenex, Inc.",927850000.0,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnx,
ACBI,NASDAQ,"Atlantic Capital Bancshares, Inc.",408020000.0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acbi,
ABY,NASDAQ,Atlantica Yield plc,2300000000.0,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby,
AAWW,NASDAQ,Atlas Air Worldwide Holdings,1420000000.0,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/aaww,
TEAM,NASDAQ,Atlassian Corporation Plc,11840000000.0,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/team,
ATNI,NASDAQ,"ATN International, Inc.",849160000.0,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/atni,
ATRC,NASDAQ,"AtriCure, Inc.",637590000.0,2005,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrc,
ATRI,NASDAQ,Atrion Corporation,1230000000.0,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atri,
BOLD,NASDAQ,"Audentes Therapeutics, Inc.",690440000.0,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bold,
AUPH,NASDAQ,Aurinia Pharmaceuticals Inc,474450000.0,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/auph,
ADSK,NASDAQ,"Autodesk, Inc.",27030000000.0,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adsk,
ADP,NASDAQ,"Automatic Data Processing, Inc.",50080000000.0,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/adp,
AVXS,NASDAQ,"AveXis, Inc.",3250000000.0,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/avxs,
CAR,NASDAQ,"Avis Budget Group, Inc.",2910000000.0,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/car,
ACLS,NASDAQ,"Axcelis Technologies, Inc.",1040000000.0,2000,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acls,
AXGN,NASDAQ,"AxoGen, Inc.",794440000.0,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/axgn,
AAXN,NASDAQ,"Axon Enterprise, Inc.",1210000000.0,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aaxn,
AXON          ,NASDAQ,Axovant Sciences Ltd.,566660000.0,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axon,
BCOM,NASDAQ,B Communications Ltd.,456610000.0,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/bcom,
RILY,NASDAQ,"B. Riley Financial, Inc.",426610000.0,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/rily,
BIDU,NASDAQ,"Baidu, Inc.",84530000000.0,2005,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/bidu,
BCPC,NASDAQ,Balchem Corporation,2700000000.0,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/bcpc,
BLDP,NASDAQ,"Ballard Power Systems, Inc.",983320000.0,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bldp,
BANF,NASDAQ,BancFirst Corporation,1670000000.0,1993,Finance,Major Banks,http://www.nasdaq.com/symbol/banf,
BKMU,NASDAQ,Bank Mutual Corporation,461680000.0,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bkmu,
BMRC,NASDAQ,Bank of Marin Bancorp,402350000.0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bmrc,
OZRK,NASDAQ,Bank of the Ozarks,5730000000.0,1997,Finance,Major Banks,http://www.nasdaq.com/symbol/ozrk,
BANR,NASDAQ,Banner Corporation,1860000000.0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/banr,
BZUN,NASDAQ,Baozun Inc.,1760000000.0,2015,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/bzun,
BBSI,NASDAQ,"Barrett Business Services, Inc.",435390000.0,1993,Technology,Professional Services,http://www.nasdaq.com/symbol/bbsi,
BECN,NASDAQ,"Beacon Roofing Supply, Inc.",3670000000.0,2004,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/becn,
BBBY,NASDAQ,Bed Bath & Beyond Inc.,2760000000.0,1992,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/bbby,
BGNE,NASDAQ,"BeiGene, Ltd.",3960000000.0,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bgne,
BNCL,NASDAQ,"Beneficial Bancorp, Inc.",1200000000.0,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bncl,
BNFT,NASDAQ,"Benefitfocus, Inc.",807560000.0,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bnft,
BYSI,NASDAQ,"BeyondSpring, Inc.",801940000.0,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bysi,
BGCP,NASDAQ,"BGC Partners, Inc.",4380000000.0,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/bgcp,
BCRX,NASDAQ,"BioCryst Pharmaceuticals, Inc.",462150000.0,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bcrx,
BIIB,NASDAQ,Biogen Inc.,66260000000.00001,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/biib,
BMRN,NASDAQ,BioMarin Pharmaceutical Inc.,14710000000.0,1999,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bmrn,
TECH,NASDAQ,Bio-Techne Corp,4720000000.0,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/tech,
BEAT,NASDAQ,"BioTelemetry, Inc.",875340000.0,2008,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/beat,
BIVV,NASDAQ,Bioverativ Inc.,5780000000.0,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bivv,
BJRI,NASDAQ,"BJ&#39;s Restaurants, Inc.",645530000.0,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bjri,
BLKB,NASDAQ,"Blackbaud, Inc.",4740000000.0,2004,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/blkb,
HAWK,NASDAQ,"Blackhawk Network Holdings, Inc.",1940000000.0,2013,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/hawk,
BL,NASDAQ,"BlackLine, Inc.",1820000000.0,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bl,
BKCC,NASDAQ,BlackRock Capital Investment Corporation,516480000.0,2007,n/a,n/a,http://www.nasdaq.com/symbol/bkcc,
BLMN,NASDAQ,"Bloomin&#39; Brands, Inc.",1540000000.0,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/blmn,
BCOR,NASDAQ,"Blucora, Inc.",952500000.0,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/bcor,
BLBD,NASDAQ,Blue Bird Corporation,473770000.0,2014,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/blbd,
BUFF,NASDAQ,"Blue Buffalo Pet Products, Inc.",5220000000.0,2015,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/buff,
BHBK,NASDAQ,"Blue Hills Bancorp, Inc.",542760000.0,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/bhbk,
BLUE,NASDAQ,"bluebird bio, Inc.",6690000000.0,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/blue,
BPMC,NASDAQ,Blueprint Medicines Corporation,2760000000.0,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bpmc,
BMCH,NASDAQ,"BMC Stock Holdings, Inc.",1470000000.0,2013,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/bmch,
BOBE,NASDAQ,"Bob Evans Farms, Inc.",1540000000.0,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bobe,
BOFI,NASDAQ,"BofI Holding, Inc.",1610000000.0,2005,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bofi,
WIFI,NASDAQ,"Boingo Wireless, Inc.",917700000.0,2011,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/wifi,
BOJA,NASDAQ,"Bojangles&#39;, Inc.",456940000.0,2015,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/boja,
BOKF,NASDAQ,BOK Financial Corporation,5510000000.0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bokf,
BPFH,NASDAQ,"Boston Private Financial Holdings, Inc.",1270000000.0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bpfh,
EPAY,NASDAQ,"Bottomline Technologies, Inc.",1340000000.0,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/epay,
BLVD,NASDAQ,Boulevard Acquisition Corp. II,462500000.0,2015,Finance,Business Services,http://www.nasdaq.com/symbol/blvd,
BDGE,NASDAQ,"Bridge Bancorp, Inc.",666100000.0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bdge,
BHF,NASDAQ,"Brighthouse Financial, Inc.",6820000000.0,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/bhf,
AVGO,NASDAQ,Broadcom Limited,110460000000.0,2009,Technology,Semiconductors,http://www.nasdaq.com/symbol/avgo,
BSFT,NASDAQ,"BroadSoft, Inc.",1730000000.0,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bsft,
